;0;1;2;3;4;5;6;7;8;9;10;11;12;13
0;0;55;75;115;170;148;145;159;98;101;95;50;58;20
1;55;0;43;115;165;155;170;198;142;138;115;75;105;75
2;75;43;0;80;125;120;142;181;135;123;91;64;106;95
3;115;115;80;0;56;41;72;124;102;80;40;66;100;124
4;170;165;125;56;0;41;85;145;145;120;88;121;151;178
5;148;155;120;41;41;0;45;105;105;80;55;96;120;153
6;145;170;142;72;85;45;0;60;75;53;53;98;103;145
7;159;198;181;124;145;105;60;0;63;60;91;123;104;150
8;98;142;135;102;145;105;75;63;0;25;60;72;40;88
9;101;138;123;80;120;80;53;60;25;0;40;65;50;95
10;95;115;91;40;88;55;53;91;60;40;0;45;64;98
11;50;75;64;66;121;96;98;123;72;65;45;0;46;58
12;58;105;106;100;151;120;103;104;40;50;64;46;0;47
13;20;75;95;124;178;153;145;150;88;95;98;58;47;0
